transect_id,sample,sampling_date,season,CSI_transect,NCDOT_transect,origin,MOM_log_mean,MOM_log_sort,MOM_log_skew,MOM_log_kurt,FW_phi_mean,FW_phi_sort,FW_phi_skew,FW_phi_kurt,description,%vc_gravel,%c_gravel,%m_gravel,%f_gravel,%vf_gravel,%vc_sand,%c_sand,%m_sand,%f_sand,%vf_sand,
apr2012_C01N,S4,2012-04-17,spring,C01,NT64,NCDOT,1.52,0.44,0.89,6.22,1.49,0.49,0.07,1.17,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.11604440000000000,0.780020182,0.090362605,0.013572813000000000,
apr2012_T03N,S1,2012-04-17,spring,T03,NT67,NCDOT,0.21,1.22,0.1,2.11,0.02,1.39,0.06,0.74,Coarse Sand,0.0,0.0,0.0,0.10492547100000000,0.138046417,0.242971888,0.22690763100000000,0.207831325,0.075816057,0.003501213,
apr2012_T03N,S2,2012-04-17,spring,T03,NT67,NCDOT,0.92,0.91,-0.79,3.22,0.97,0.93,-0.24,1.0,Coarse Sand,0.0,0.0,0.0,0.013245554,0.024830598,0.12324649300000000,0.293587174,0.47294589200000000,0.071645118,0.000499171,
apr2012_T03N,S3,2012-04-17,spring,T03,NT67,NCDOT,1.79,0.44,0.47,2.22,1.79,0.54,0.12,0.78,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.0,0.016145308,0.645812311,0.33452350400000000,0.003518878,
apr2012_T03N,S4,2012-04-17,spring,T03,NT67,NCDOT,1.39,0.52,0.55,5.5,1.36,0.56,0.03,1.13,Medium Sand,0.0,0.0,0.0,0.0,0.0,0.002018163,0.231079717,0.696266398,0.05052785,0.020107872,
apr2012_T05N,S1,2012-04-17,spring,T05,NT68,NCDOT,0.54,1.15,-0.38,2.25,0.42,1.36,-0.23,0.87,Coarse Sand,0.0,0.0,0.0,0.080231105,0.09096728300000000,0.165156093,0.254783484,0.330312185,0.078048165,0.000501684,
apr2012_T05N,S2,2012-04-17,spring,T05,NT68,NCDOT,0.81,0.97,-0.83,3.13,0.82,1.09,-0.35,1.11,Coarse Sand,0.0,0.0,0.0,0.033301038,0.044855274,0.122244489,0.293587174,0.44989980000000000,0.055613054,0.000499171,
apr2012_T05N,S3,2012-04-17,spring,T05,NT68,NCDOT,1.41,0.61,-0.79,5.09,1.41,0.64,-0.08,1.19,Medium Sand,0.0,0.0,0.0,0.000402034,0.001601974,0.02004008,0.191382766,0.640280561,0.144295902,0.001996683,
apr2012_T05N,S4,2012-04-17,spring,T05,NT68,NCDOT,1.33,0.57,-1.24,7.48,1.34,0.56,-0.14,1.11,Medium Sand,0.0,0.0,0.0,0.000806492,0.0032136080000000000,0.023115578000000000,0.204020101,0.705527638,0.05931117600000000,0.004005407,
apr2012_T07N,S1,2012-04-17,spring,T07,NT69,NCDOT,0.15,1.16,-0.01,2.06,0.02,1.36,-0.08,0.83,Coarse Sand,0.0,0.0,0.0,0.08815020900000000,0.14300557,0.249246231,0.245226131,0.242211055,0.029156749,0.003004055,
